Date : 2026-03-14 14:10:57
Directory : c:\Users\BG420\coffee-platform
Total : 147 files,  20200 codes, 5825 comments, 7052 blanks, all 33077 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| app\platform                                                                              |          1 |      1,689 |        165 |        481 |      2,335 |
| app\sign                                                                                  |          1 |         81 |         23 |         71 |        175 |
| app\sign\[token]                                                                          |          1 |         81 |         23 |         71 |        175 |
| app\signup                                                                                |          1 |         37 |          0 |         15 |         52 |
| lib                                                                                       |          1 |          0 |          0 |          1 |          1 |
| src                                                                                       |        120 |      7,780 |      3,230 |      4,632 |     15,642 |
| src\AI                                                                                    |         25 |      1,369 |        758 |        997 |      3,124 |
| src\AI\advisor                                                                            |          1 |         63 |         19 |         56 |        138 |
| src\AI\agent                                                                              |          1 |         99 |         50 |         73 |        222 |
| src\AI\dashboard                                                                          |          1 |         57 |         21 |         33 |        111 |
| src\AI\decision                                                                           |          3 |        197 |         36 |        145 |        378 |
| src\AI\execution                                                                          |          4 |        135 |         68 |         87 |        290 |
| src\AI\foresight                                                                          |          6 |        335 |        200 |        251 |        786 |
| src\AI\interpretation                                                                     |          2 |         78 |         74 |         51 |        203 |
| src\AI\market                                                                             |          1 |         50 |         27 |         45 |        122 |
| src\AI\orchestration                                                                      |          1 |        181 |         96 |         98 |        375 |
| src\AI\sensing                                                                            |          3 |         84 |        130 |         69 |        283 |
| src\AI\simulation                                                                         |          2 |         90 |         37 |         89 |        216 |
| src\brain                                                                                 |          5 |        222 |         99 |        127 |        448 |
| src\clientLayer                                                                           |         19 |        592 |        148 |        413 |      1,153 |
| src\clientLayer\contracts                                                                 |          9 |        173 |         33 |        111 |        317 |
| src\clientLayer\contracts\client                                                          |          5 |         89 |          9 |         47 |        145 |
| src\clientLayer\contracts\signature                                                       |          4 |         84 |         24 |         64 |        172 |
| src\clientLayer\layer                                                                     |         10 |        419 |        115 |        302 |        836 |
| src\components                                                                            |         12 |      1,672 |        217 |        612 |      2,501 |
| src\components\lab                                                                        |          6 |        780 |         35 |        225 |      1,040 |
| src\components\platform                                                                   |          4 |        892 |        182 |        385 |      1,459 |
| src\components\shared                                                                     |          2 |          0 |          0 |          2 |          2 |
| src\database                                                                              |          2 |          0 |          0 |          2 |          2 |
| src\decision                                                                              |         19 |      1,267 |        475 |        750 |      2,492 |
| src\engine                                                                                |          6 |      1,778 |        881 |        920 |      3,579 |
| src\events                                                                                |          3 |         20 |         15 |         20 |         55 |
| src\hooks                                                                                 |          1 |         67 |         32 |         49 |        148 |
| src\signals                                                                               |          2 |         32 |         41 |         10 |         83 |
| src\spatialMarket                                                                         |         20 |        670 |        518 |        648 |      1,836 |
| src\spatialMarket\RunSpatialMarkets                                                       |          1 |         66 |         47 |         39 |        152 |
| src\spatialMarket\cascade                                                                 |          5 |        191 |        168 |        205 |        564 |
| src\spatialMarket\export                                                                  |          2 |         61 |         27 |         64 |        152 |
| src\spatialMarket\flows                                                                   |          2 |         79 |         63 |         89 |        231 |
| src\spatialMarket\graph                                                                   |          2 |        102 |         74 |         85 |        261 |
| src\spatialMarket\logistics                                                               |          3 |         16 |         29 |         25 |         70 |
| src\spatialMarket\pricing                                                                 |          2 |         69 |         43 |         60 |        172 |
| src\spatialMarket\regions                                                                 |          3 |         86 |         67 |         81 |        234 |
| src\utils                                                                                 |          2 |          0 |          0 |          2 |          2 |
| src\websocket                                                                             |          4 |         91 |         46 |         82 |        219 |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                  | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\BG420\coffee-platform\README.md                                                  | Markdown           |         23 |          0 |         14 |         37 |
| c:\Users\BG420\coffee-platform\app\api\contracts\amend\route.ts                           | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\app\api\contracts\create\route.ts                          | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\app\api\signature\sign\route.ts                            | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\app\api\signature\verify\route.ts                          | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\app\contract\create\page.tsx                               | TypeScript JSX     |        134 |         15 |         67 |        216 |
| c:\Users\BG420\coffee-platform\app\contract\create\step1Client.tsx                        | TypeScript JSX     |        169 |         25 |         88 |        282 |
| c:\Users\BG420\coffee-platform\app\contract\create\step2Supply.tsx                        | TypeScript JSX     |        160 |         41 |         87 |        288 |
| c:\Users\BG420\coffee-platform\app\contract\create\step3Preview.tsx                       | TypeScript JSX     |        163 |         41 |        111 |        315 |
| c:\Users\BG420\coffee-platform\app\contract\pilot\page.tsx                                | TypeScript JSX     |         58 |          3 |         31 |         92 |
| c:\Users\BG420\coffee-platform\app\globals.css                                            | PostCSS            |        837 |         53 |        205 |      1,095 |
| c:\Users\BG420\coffee-platform\app\lab\page.tsx                                           | TypeScript JSX     |        120 |         17 |         45 |        182 |
| c:\Users\BG420\coffee-platform\app\layout.tsx                                             | TypeScript JSX     |         34 |          3 |         11 |         48 |
| c:\Users\BG420\coffee-platform\app\legacy\hybridengineconcept.ts                          | TypeScript         |          0 |      1,960 |        864 |      2,824 |
| c:\Users\BG420\coffee-platform\app\legacy\simulationDemo_old.ts                           | TypeScript         |        657 |        218 |        272 |      1,147 |
| c:\Users\BG420\coffee-platform\app\login\page.tsx                                         | TypeScript JSX     |         43 |         24 |         29 |         96 |
| c:\Users\BG420\coffee-platform\app\page.tsx                                               | TypeScript JSX     |         94 |          4 |         12 |        110 |
| c:\Users\BG420\coffee-platform\app\platform\page.tsx                                      | TypeScript JSX     |      1,689 |        165 |        481 |      2,335 |
| c:\Users\BG420\coffee-platform\app\sign\[token]\page.tsx                                  | TypeScript JSX     |         81 |         23 |         71 |        175 |
| c:\Users\BG420\coffee-platform\app\signup\page.tsx                                        | TypeScript JSX     |         37 |          0 |         15 |         52 |
| c:\Users\BG420\coffee-platform\eslint.config.mjs                                          | JavaScript         |         14 |          2 |          3 |         19 |
| c:\Users\BG420\coffee-platform\lib\supabase.ts                                            | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\next.config.ts                                             | TypeScript         |          4 |          1 |          3 |          8 |
| c:\Users\BG420\coffee-platform\package-lock.json                                          | JSON               |      8,035 |          0 |          1 |      8,036 |
| c:\Users\BG420\coffee-platform\package.json                                               | JSON               |         30 |          0 |          1 |         31 |
| c:\Users\BG420\coffee-platform\postcss.config.mjs                                         | JavaScript         |          6 |          0 |          2 |          8 |
| c:\Users\BG420\coffee-platform\src\AI\advisor\AIStrategicAdvisor.ts                       | TypeScript         |         63 |         19 |         56 |        138 |
| c:\Users\BG420\coffee-platform\src\AI\agent\AutonomousStrategyAgent.ts                    | TypeScript         |         99 |         50 |         73 |        222 |
| c:\Users\BG420\coffee-platform\src\AI\dashboard\GlobalRiskDashboardEngine.ts              | TypeScript         |         57 |         21 |         33 |        111 |
| c:\Users\BG420\coffee-platform\src\AI\decision\CommodityStrategyEngine.ts                 | TypeScript         |         62 |         15 |         51 |        128 |
| c:\Users\BG420\coffee-platform\src\AI\decision\GlobalCommodityPortfolioOptimizer.ts       | TypeScript         |         72 |         11 |         48 |        131 |
| c:\Users\BG420\coffee-platform\src\AI\decision\GlobalTradeRouteOptimizer.ts               | TypeScript         |         63 |         10 |         46 |        119 |
| c:\Users\BG420\coffee-platform\src\AI\execution\ExecutionRiskEngine.ts                    | TypeScript         |         58 |         27 |         33 |        118 |
| c:\Users\BG420\coffee-platform\src\AI\execution\MarketImpactEngine.ts                     | TypeScript         |         38 |         29 |         27 |         94 |
| c:\Users\BG420\coffee-platform\src\AI\execution\selectBestRegion.ts                       | TypeScript         |         15 |          6 |         14 |         35 |
| c:\Users\BG420\coffee-platform\src\AI\execution\selectBestTradeRoute.ts                   | TypeScript         |         24 |          6 |         13 |         43 |
| c:\Users\BG420\coffee-platform\src\AI\foresight\CommodityOpportunityScanner.ts            | TypeScript         |         50 |         20 |         31 |        101 |
| c:\Users\BG420\coffee-platform\src\AI\foresight\CommodityShockNetwork.ts                  | TypeScript         |         43 |         15 |         29 |         87 |
| c:\Users\BG420\coffee-platform\src\AI\foresight\DecisionStressTest.ts                     | TypeScript         |         31 |         25 |         23 |         79 |
| c:\Users\BG420\coffee-platform\src\AI\foresight\StrategicForecastEngine.ts                | TypeScript         |         80 |         67 |         51 |        198 |
| c:\Users\BG420\coffee-platform\src\AI\foresight\monteCarloMarketFutures.ts                | TypeScript         |         61 |         29 |         51 |        141 |
| c:\Users\BG420\coffee-platform\src\AI\foresight\predictiveSimulation.ts                   | TypeScript         |         70 |         44 |         66 |        180 |
| c:\Users\BG420\coffee-platform\src\AI\interpretation\CommodityRegimeDetector.ts           | TypeScript         |         33 |         13 |         21 |         67 |
| c:\Users\BG420\coffee-platform\src\AI\interpretation\systemIntelligence.ts                | TypeScript         |         45 |         61 |         30 |        136 |
| c:\Users\BG420\coffee-platform\src\AI\market\CommodityPriceEngine.ts                      | TypeScript         |         50 |         27 |         45 |        122 |
| c:\Users\BG420\coffee-platform\src\AI\orchestration\runAISystem.ts                        | TypeScript         |        181 |         96 |         98 |        375 |
| c:\Users\BG420\coffee-platform\src\AI\sensing\DemandIntelligence.ts                       | TypeScript         |         26 |         42 |         23 |         91 |
| c:\Users\BG420\coffee-platform\src\AI\sensing\SupplyRiskIntelligence.ts                   | TypeScript         |         28 |         46 |         23 |         97 |
| c:\Users\BG420\coffee-platform\src\AI\sensing\WeatherIntelligence.ts                      | TypeScript         |         30 |         42 |         23 |         95 |
| c:\Users\BG420\coffee-platform\src\AI\simulation\GlobalScenarioEngine.ts                  | TypeScript         |         33 |         25 |         39 |         97 |
| c:\Users\BG420\coffee-platform\src\AI\simulation\SupplyChainStressSimulator.ts            | TypeScript         |         57 |         12 |         50 |        119 |
| c:\Users\BG420\coffee-platform\src\brain\cascadeDetector.ts                               | TypeScript         |         27 |         12 |         13 |         52 |
| c:\Users\BG420\coffee-platform\src\brain\cognitiveMemory.ts                               | TypeScript         |         72 |         36 |         50 |        158 |
| c:\Users\BG420\coffee-platform\src\brain\phaseTransitionDetector.ts                       | TypeScript         |         19 |         16 |          8 |         43 |
| c:\Users\BG420\coffee-platform\src\brain\regimeLearning.ts                                | TypeScript         |         26 |          5 |         15 |         46 |
| c:\Users\BG420\coffee-platform\src\brain\systemBrain.ts                                   | TypeScript         |         78 |         30 |         41 |        149 |
| c:\Users\BG420\coffee-platform\src\clientLayer\contracts\client\clientFactory.ts          | TypeScript         |          8 |          0 |          4 |         12 |
| c:\Users\BG420\coffee-platform\src\clientLayer\contracts\client\clientProfiles.ts         | TypeScript         |         36 |          0 |         14 |         50 |
| c:\Users\BG420\coffee-platform\src\clientLayer\contracts\client\clientRequestGenerator.ts | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\clientLayer\contracts\client\clientSession.ts          | TypeScript         |         25 |          9 |         15 |         49 |
| c:\Users\BG420\coffee-platform\src\clientLayer\contracts\client\clientTypes.ts            | TypeScript         |         20 |          0 |         13 |         33 |
| c:\Users\BG420\coffee-platform\src\clientLayer\contracts\signature\signatureController.ts | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\clientLayer\contracts\signature\signatureService.ts    | TypeScript         |         26 |         24 |         24 |         74 |
| c:\Users\BG420\coffee-platform\src\clientLayer\contracts\signature\signatureTokens.ts     | TypeScript         |         46 |          0 |         32 |         78 |
| c:\Users\BG420\coffee-platform\src\clientLayer\contracts\signature\signatureTypes.ts      | TypeScript         |         12 |          0 |          7 |         19 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\activateContract.ts                  | TypeScript         |         22 |          9 |         17 |         48 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractController.ts                | TypeScript         |         39 |          9 |         38 |         86 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractIntelligence.ts              | TypeScript         |         14 |          1 |          6 |         21 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractLedger.ts                    | TypeScript         |         44 |         13 |         41 |         98 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractPDFGenerator.tsx             | TypeScript JSX     |        168 |         33 |         88 |        289 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractProposal.ts                  | TypeScript         |         11 |          0 |         10 |         21 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractRegistry.ts                  | TypeScript         |         24 |         15 |         23 |         62 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractScheduler.ts                 | TypeScript         |         22 |          3 |         15 |         40 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractStore.ts                     | TypeScript         |         60 |         26 |         51 |        137 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractTypes.ts                     | TypeScript         |         15 |          6 |         13 |         34 |
| c:\Users\BG420\coffee-platform\src\components\lab\AIControlPanel.tsx                      | TypeScript JSX     |         49 |          2 |         19 |         70 |
| c:\Users\BG420\coffee-platform\src\components\lab\CommodityMarketPanel.tsx                | TypeScript JSX     |         61 |          0 |         24 |         85 |
| c:\Users\BG420\coffee-platform\src\components\lab\EngineCalibrationPanel.tsx              | TypeScript JSX     |         76 |          0 |         21 |         97 |
| c:\Users\BG420\coffee-platform\src\components\lab\EngineResearchPanel.tsx                 | TypeScript JSX     |        219 |          5 |         33 |        257 |
| c:\Users\BG420\coffee-platform\src\components\lab\LeftPanel.tsx                           | TypeScript JSX     |        236 |         25 |         79 |        340 |
| c:\Users\BG420\coffee-platform\src\components\lab\RightLabPanel.tsx                       | TypeScript JSX     |        139 |          3 |         49 |        191 |
| c:\Users\BG420\coffee-platform\src\components\platform\ClientContractsPanel.tsx           | TypeScript JSX     |        248 |         58 |        125 |        431 |
| c:\Users\BG420\coffee-platform\src\components\platform\ClientOverviewPanel.tsx            | TypeScript JSX     |        201 |         48 |         90 |        339 |
| c:\Users\BG420\coffee-platform\src\components\platform\ClientTradingPanel.tsx             | TypeScript JSX     |        343 |         76 |        140 |        559 |
| c:\Users\BG420\coffee-platform\src\components\platform\ContractTimelineModal.tsx          | TypeScript JSX     |        100 |          0 |         30 |        130 |
| c:\Users\BG420\coffee-platform\src\components\shared\CapacityBar.tsx                      | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\components\shared\SignalIndicator.tsx                  | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\database\contractRepository.ts                         | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\database\prisma.ts                                     | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\decision\anticipatoryShortage.ts                       | TypeScript         |         19 |          4 |          8 |         31 |
| c:\Users\BG420\coffee-platform\src\decision\capacityFrontier.ts                           | TypeScript         |         34 |          3 |         12 |         49 |
| c:\Users\BG420\coffee-platform\src\decision\computeSupplySecurityIndex.ts                 | TypeScript         |         22 |          9 |         10 |         41 |
| c:\Users\BG420\coffee-platform\src\decision\decisionBridge.ts                             | TypeScript         |         23 |          5 |         13 |         41 |
| c:\Users\BG420\coffee-platform\src\decision\decisionMemory.ts                             | TypeScript         |         20 |          5 |         14 |         39 |
| c:\Users\BG420\coffee-platform\src\decision\decisionMomentum.ts                           | TypeScript         |         13 |          4 |          5 |         22 |
| c:\Users\BG420\coffee-platform\src\decision\decisionPipeline.ts                           | TypeScript         |        458 |        171 |        297 |        926 |
| c:\Users\BG420\coffee-platform\src\decision\liveDecision.ts                               | TypeScript         |        270 |        125 |        152 |        547 |
| c:\Users\BG420\coffee-platform\src\decision\marketFeedback.ts                             | TypeScript         |         25 |         13 |         19 |         57 |
| c:\Users\BG420\coffee-platform\src\decision\pendingRequests.ts                            | TypeScript         |         45 |         17 |         23 |         85 |
| c:\Users\BG420\coffee-platform\src\decision\regionalImbalance.ts                          | TypeScript         |         20 |          4 |         12 |         36 |
| c:\Users\BG420\coffee-platform\src\decision\regionalRiskDiagnostics.ts                    | TypeScript         |         32 |         13 |         21 |         66 |
| c:\Users\BG420\coffee-platform\src\decision\replenishmentForecast.ts                      | TypeScript         |         34 |         13 |         23 |         70 |
| c:\Users\BG420\coffee-platform\src\decision\riskModel.ts                                  | TypeScript         |         24 |         25 |         13 |         62 |
| c:\Users\BG420\coffee-platform\src\decision\semaphoreEvaluator.ts                         | TypeScript         |        103 |         28 |         63 |        194 |
| c:\Users\BG420\coffee-platform\src\decision\semaphoreLogic.ts                             | TypeScript         |         29 |         12 |         16 |         57 |
| c:\Users\BG420\coffee-platform\src\decision\supplyCascadeRisk.ts                          | TypeScript         |         17 |          4 |         10 |         31 |
| c:\Users\BG420\coffee-platform\src\decision\supplyPlanner.ts                              | TypeScript         |         38 |         16 |         26 |         80 |
| c:\Users\BG420\coffee-platform\src\decision\volumeSuggestion.ts                           | TypeScript         |         41 |          4 |         13 |         58 |
| c:\Users\BG420\coffee-platform\src\engine\adaptiveStress.ts                               | TypeScript         |         27 |         10 |         10 |         47 |
| c:\Users\BG420\coffee-platform\src\engine\engineOperational.ts                            | TypeScript         |         77 |         41 |         60 |        178 |
| c:\Users\BG420\coffee-platform\src\engine\modelPhysics.ts                                 | TypeScript         |         78 |         67 |         43 |        188 |
| c:\Users\BG420\coffee-platform\src\engine\runtime.ts                                      | TypeScript         |        743 |        438 |        447 |      1,628 |
| c:\Users\BG420\coffee-platform\src\engine\simulationReal.ts                               | TypeScript         |        764 |        319 |        340 |      1,423 |
| c:\Users\BG420\coffee-platform\src\engine\useEngineBridge.ts                              | TypeScript         |         89 |          6 |         20 |        115 |
| c:\Users\BG420\coffee-platform\src\events\contractEventBridge.ts                          | TypeScript         |         12 |          6 |         11 |         29 |
| c:\Users\BG420\coffee-platform\src\events\eventBus.ts                                     | TypeScript         |          2 |          6 |          3 |         11 |
| c:\Users\BG420\coffee-platform\src\events\eventTypes.ts                                   | TypeScript         |          6 |          3 |          6 |         15 |
| c:\Users\BG420\coffee-platform\src\hooks\useEngineRuntime.ts                              | TypeScript         |         67 |         32 |         49 |        148 |
| c:\Users\BG420\coffee-platform\src\signals\signalFirewall.ts                              | TypeScript         |         28 |          7 |          7 |         42 |
| c:\Users\BG420\coffee-platform\src\signals\signalRegistry.ts                              | TypeScript         |          4 |         34 |          3 |         41 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\RunSpatialMarkets\runSpatialMarket.ts    | TypeScript         |         66 |         47 |         39 |        152 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\cascade\commodityShockPropagation.ts     | TypeScript         |         40 |         42 |         46 |        128 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\cascade\globalShockMemory.ts             | TypeScript         |         78 |         56 |         82 |        216 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\cascade\shockDecayEngine.ts              | TypeScript         |         24 |         39 |         32 |         95 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\cascade\shockPropagation.ts              | TypeScript         |         49 |         31 |         44 |        124 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\cascade\supplyCascadeGraph.ts            | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\export\exportOpportunityEngine.ts        | TypeScript         |         61 |         27 |         63 |        151 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\export\exportScore.ts                    | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\flows\commodityFlowEngine.ts             | TypeScript         |         50 |         31 |         58 |        139 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\flows\tradeGravityModel.ts               | TypeScript         |         29 |         32 |         31 |         92 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\graph\commodityDependencyGraph.ts        | TypeScript         |         57 |         48 |         30 |        135 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\graph\commodityGraph.ts                  | TypeScript         |         45 |         26 |         55 |        126 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\logistics\logisticsNetwork.ts            | TypeScript         |         16 |         29 |         23 |         68 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\logistics\portCongestionModel.ts         | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\logistics\routeCostEngine.ts             | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\pricing\priceSurface.ts                  | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\pricing\spatialPriceEngine.ts            | TypeScript         |         69 |         43 |         59 |        171 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\regions\regionInventoryEngine.ts         | TypeScript         |         36 |         32 |         32 |        100 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\regions\regionRegistry.ts                | TypeScript         |         40 |         26 |         37 |        103 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\regions\regionTypes.ts                   | TypeScript         |         10 |          9 |         12 |         31 |
| c:\Users\BG420\coffee-platform\src\utils\time.ts                                          | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\utils\uuid.ts                                          | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\websocket\startWebsocket.ts                            | TypeScript         |          4 |          3 |          3 |         10 |
| c:\Users\BG420\coffee-platform\src\websocket\websocketClient.ts                           | TypeScript         |         32 |         12 |         30 |         74 |
| c:\Users\BG420\coffee-platform\src\websocket\websocketGateway.ts                          | TypeScript         |         39 |         16 |         26 |         81 |
| c:\Users\BG420\coffee-platform\src\websocket\websocketServer.ts                           | TypeScript         |         16 |         15 |         23 |         54 |
| c:\Users\BG420\coffee-platform\tsconfig.json                                              | JSON with Comments |         32 |          0 |          2 |         34 |
| Total                                                                                     |                    |     20,200 |      5,825 |      7,052 |     33,077 |
+-------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
