Date : 2026-03-19 16:10:52
Directory : c:\Users\BG420\coffee-platform
Total : 186 files,  21586 codes, 6782 comments, 8295 blanks, all 36663 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\BG420\coffee-platform\src\AI\execution\selectBestTradeRoute.ts                   | TypeScript         |         24 |          6 |         13 |         43 |
| c:\Users\BG420\coffee-platform\src\AI\foresight\CommodityOpportunityScanner.ts            | TypeScript         |         50 |         20 |         31 |        101 |
| c:\Users\BG420\coffee-platform\src\AI\foresight\CommodityShockNetwork.ts                  | TypeScript         |         43 |         15 |         29 |         87 |
| c:\Users\BG420\coffee-platform\src\AI\foresight\DecisionStressTest.ts                     | TypeScript         |         31 |         25 |         23 |         79 |
| c:\Users\BG420\coffee-platform\src\AI\foresight\StrategicForecastEngine.ts                | TypeScript         |         80 |         67 |         51 |        198 |
| c:\Users\BG420\coffee-platform\src\AI\foresight\monteCarloMarketFutures.ts                | TypeScript         |         61 |         29 |         51 |        141 |
| c:\Users\BG420\coffee-platform\src\AI\foresight\predictiveSimulation.ts                   | TypeScript         |         70 |         44 |         66 |        180 |
| c:\Users\BG420\coffee-platform\src\AI\interpretation\CommodityRegimeDetector.ts           | TypeScript         |         33 |         13 |         21 |         67 |
| c:\Users\BG420\coffee-platform\src\AI\interpretation\systemIntelligence.ts                | TypeScript         |         45 |         61 |         30 |        136 |
| c:\Users\BG420\coffee-platform\src\AI\learning\StrategyLearningEngine.ts                  | TypeScript         |         16 |          6 |          9 |         31 |
| c:\Users\BG420\coffee-platform\src\AI\learning\TradeMemory.ts                             | TypeScript         |         20 |          9 |         17 |         46 |
| c:\Users\BG420\coffee-platform\src\AI\market\CommodityPriceEngine.ts                      | TypeScript         |         50 |         27 |         45 |        122 |
| c:\Users\BG420\coffee-platform\src\AI\orchestration\runAISystem.ts                        | TypeScript         |        312 |        151 |        180 |        643 |
| c:\Users\BG420\coffee-platform\src\AI\risk\CapitalAllocationEngine.ts                     | TypeScript         |         15 |         23 |         16 |         54 |
| c:\Users\BG420\coffee-platform\src\AI\risk\PortfolioExposureEngine.ts                     | TypeScript         |         26 |         17 |         19 |         62 |
| c:\Users\BG420\coffee-platform\src\AI\risk\PortfolioRebalancer.ts                         | TypeScript         |         36 |         17 |         23 |         76 |
| c:\Users\BG420\coffee-platform\src\AI\sensing\DemandIntelligence.ts                       | TypeScript         |         26 |         42 |         23 |         91 |
| c:\Users\BG420\coffee-platform\src\AI\sensing\SupplyRiskIntelligence.ts                   | TypeScript         |         28 |         46 |         23 |         97 |
| c:\Users\BG420\coffee-platform\src\AI\sensing\WeatherIntelligence.ts                      | TypeScript         |         30 |         42 |         23 |         95 |
| c:\Users\BG420\coffee-platform\src\AI\simulation\GlobalScenarioEngine.ts                  | TypeScript         |         33 |         25 |         39 |         97 |
| c:\Users\BG420\coffee-platform\src\AI\simulation\SupplyChainStressSimulator.ts            | TypeScript         |         57 |         12 |         50 |        119 |
| c:\Users\BG420\coffee-platform\src\brain\cascadeDetector.ts                               | TypeScript         |         27 |         12 |         13 |         52 |
| c:\Users\BG420\coffee-platform\src\brain\cognitiveMemory.ts                               | TypeScript         |         72 |         36 |         50 |        158 |
| c:\Users\BG420\coffee-platform\src\brain\phaseTransitionDetector.ts                       | TypeScript         |         19 |         16 |          8 |         43 |
| c:\Users\BG420\coffee-platform\src\brain\regimeLearning.ts                                | TypeScript         |         26 |          5 |         15 |         46 |
| c:\Users\BG420\coffee-platform\src\brain\systemBrain.ts                                   | TypeScript         |         78 |         30 |         41 |        149 |
| c:\Users\BG420\coffee-platform\src\clientLayer\contracts\client\clientFactory.ts          | TypeScript         |          8 |          0 |          4 |         12 |
| c:\Users\BG420\coffee-platform\src\clientLayer\contracts\client\clientProfiles.ts         | TypeScript         |         36 |          0 |         14 |         50 |
| c:\Users\BG420\coffee-platform\src\clientLayer\contracts\client\clientRequestGenerator.ts | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\clientLayer\contracts\client\clientSession.ts          | TypeScript         |         25 |          9 |         15 |         49 |
| c:\Users\BG420\coffee-platform\src\clientLayer\contracts\client\clientTypes.ts            | TypeScript         |         20 |          0 |         13 |         33 |
| c:\Users\BG420\coffee-platform\src\clientLayer\contracts\signature\signatureController.ts | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\clientLayer\contracts\signature\signatureService.ts    | TypeScript         |         26 |         24 |         24 |         74 |
| c:\Users\BG420\coffee-platform\src\clientLayer\contracts\signature\signatureTokens.ts     | TypeScript         |         46 |          0 |         32 |         78 |
| c:\Users\BG420\coffee-platform\src\clientLayer\contracts\signature\signatureTypes.ts      | TypeScript         |         12 |          0 |          7 |         19 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\activateContract.ts                  | TypeScript         |         22 |          9 |         17 |         48 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractController.ts                | TypeScript         |         39 |          9 |         38 |         86 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractIntelligence.ts              | TypeScript         |         14 |          1 |          6 |         21 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractLedger.ts                    | TypeScript         |         44 |         13 |         41 |         98 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractPDFGenerator.tsx             | TypeScript JSX     |        168 |         33 |         88 |        289 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractProposal.ts                  | TypeScript         |         11 |          0 |         10 |         21 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractRegistry.ts                  | TypeScript         |         24 |         15 |         23 |         62 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractScheduler.ts                 | TypeScript         |         29 |         42 |         28 |         99 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractStore.ts                     | TypeScript         |         60 |         26 |         51 |        137 |
| c:\Users\BG420\coffee-platform\src\clientLayer\layer\contractTypes.ts                     | TypeScript         |         15 |          6 |         13 |         34 |
| c:\Users\BG420\coffee-platform\src\clientLayer\microlots\microLotAuctionEngine.ts         | TypeScript         |         60 |         22 |         52 |        134 |
| c:\Users\BG420\coffee-platform\src\clientLayer\microlots\microLotDispatcher.ts            | TypeScript         |         18 |         14 |         15 |         47 |
| c:\Users\BG420\coffee-platform\src\clientLayer\microlots\microLotMarketEngine.ts          | TypeScript         |         63 |         25 |         52 |        140 |
| c:\Users\BG420\coffee-platform\src\clientLayer\microlots\microLotMarketLearning.ts        | TypeScript         |         66 |         31 |         53 |        150 |
| c:\Users\BG420\coffee-platform\src\clientLayer\microlots\microLotOfferEngine.ts           | TypeScript         |         51 |         23 |         44 |        118 |
| c:\Users\BG420\coffee-platform\src\clientLayer\microlots\microLotPortfolioEngine.ts       | TypeScript         |         81 |         28 |         62 |        171 |
| c:\Users\BG420\coffee-platform\src\clientLayer\microlots\microLotPricingEngine.ts         | TypeScript         |         94 |         30 |         57 |        181 |
| c:\Users\BG420\coffee-platform\src\clientLayer\scoring\clientReputationDrift.ts           | TypeScript         |         36 |         26 |         34 |         96 |
| c:\Users\BG420\coffee-platform\src\clientLayer\scoring\clientScoreEngine.ts               | TypeScript         |         66 |         64 |         46 |        176 |
| c:\Users\BG420\coffee-platform\src\clientLayer\scoring\clientTrustEngine.ts               | TypeScript         |         53 |         21 |         46 |        120 |
| c:\Users\BG420\coffee-platform\src\clientLayer\scoring\microLotAllocator.ts               | TypeScript         |         15 |          7 |         13 |         35 |
| c:\Users\BG420\coffee-platform\src\components\lab\AIControlPanel.tsx                      | TypeScript JSX     |         49 |          2 |         19 |         70 |
| c:\Users\BG420\coffee-platform\src\components\lab\CommodityMarketPanel.tsx                | TypeScript JSX     |         61 |          0 |         24 |         85 |
| c:\Users\BG420\coffee-platform\src\components\lab\EngineCalibrationPanel.tsx              | TypeScript JSX     |         76 |          0 |         21 |         97 |
| c:\Users\BG420\coffee-platform\src\components\lab\EngineResearchPanel.tsx                 | TypeScript JSX     |        219 |          5 |         33 |        257 |
| c:\Users\BG420\coffee-platform\src\components\lab\LeftPanel.tsx                           | TypeScript JSX     |        236 |         25 |         79 |        340 |
| c:\Users\BG420\coffee-platform\src\components\lab\RightLabPanel.tsx                       | TypeScript JSX     |        139 |          3 |         49 |        191 |
| c:\Users\BG420\coffee-platform\src\components\lab\StrategyLeaderboardPanel.tsx            | TypeScript JSX     |         61 |          6 |         21 |         88 |
| c:\Users\BG420\coffee-platform\src\components\platform\ClientContractsPanel.tsx           | TypeScript JSX     |        248 |         58 |        125 |        431 |
| c:\Users\BG420\coffee-platform\src\components\platform\ClientOverviewPanel.tsx            | TypeScript JSX     |        225 |         49 |        105 |        379 |
| c:\Users\BG420\coffee-platform\src\components\platform\ClientTradingPanel.tsx             | TypeScript JSX     |        343 |         76 |        140 |        559 |
| c:\Users\BG420\coffee-platform\src\components\platform\ContractTimelineModal.tsx          | TypeScript JSX     |        100 |          0 |         30 |        130 |
| c:\Users\BG420\coffee-platform\src\components\shared\CapacityBar.tsx                      | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\components\shared\SignalIndicator.tsx                  | TypeScript JSX     |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\database\contractRepository.ts                         | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\database\prisma.ts                                     | TypeScript         |         11 |         12 |         12 |         35 |
| c:\Users\BG420\coffee-platform\src\decision\anticipatoryShortage.ts                       | TypeScript         |         19 |          4 |          8 |         31 |
| c:\Users\BG420\coffee-platform\src\decision\capacityFrontier.ts                           | TypeScript         |         34 |          3 |         12 |         49 |
| c:\Users\BG420\coffee-platform\src\decision\clientScoring.ts                              | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\decision\computeSupplySecurityIndex.ts                 | TypeScript         |         22 |          9 |         10 |         41 |
| c:\Users\BG420\coffee-platform\src\decision\decisionBridge.ts                             | TypeScript         |         23 |          5 |         13 |         41 |
| c:\Users\BG420\coffee-platform\src\decision\decisionMemory.ts                             | TypeScript         |         20 |          5 |         14 |         39 |
| c:\Users\BG420\coffee-platform\src\decision\decisionMomentum.ts                           | TypeScript         |         13 |          4 |          5 |         22 |
| c:\Users\BG420\coffee-platform\src\decision\decisionPipeline.ts                           | TypeScript         |        458 |        171 |        297 |        926 |
| c:\Users\BG420\coffee-platform\src\decision\liveDecision.ts                               | TypeScript         |        284 |        129 |        157 |        570 |
| c:\Users\BG420\coffee-platform\src\decision\marketFeedback.ts                             | TypeScript         |         25 |         13 |         19 |         57 |
| c:\Users\BG420\coffee-platform\src\decision\pendingRequests.ts                            | TypeScript         |         45 |         17 |         23 |         85 |
| c:\Users\BG420\coffee-platform\src\decision\regionalImbalance.ts                          | TypeScript         |         20 |          4 |         12 |         36 |
| c:\Users\BG420\coffee-platform\src\decision\regionalRiskDiagnostics.ts                    | TypeScript         |         32 |         13 |         21 |         66 |
| c:\Users\BG420\coffee-platform\src\decision\replenishmentForecast.ts                      | TypeScript         |         34 |         13 |         23 |         70 |
| c:\Users\BG420\coffee-platform\src\decision\riskModel.ts                                  | TypeScript         |         24 |         25 |         13 |         62 |
| c:\Users\BG420\coffee-platform\src\decision\semaphoreEvaluator.ts                         | TypeScript         |        103 |         28 |         63 |        194 |
| c:\Users\BG420\coffee-platform\src\decision\semaphoreLogic.ts                             | TypeScript         |         29 |         12 |         16 |         57 |
| c:\Users\BG420\coffee-platform\src\decision\supplyCascadeRisk.ts                          | TypeScript         |         17 |          4 |         10 |         31 |
| c:\Users\BG420\coffee-platform\src\decision\supplyPlanner.ts                              | TypeScript         |         38 |         16 |         26 |         80 |
| c:\Users\BG420\coffee-platform\src\decision\volumeSuggestion.ts                           | TypeScript         |         41 |          4 |         13 |         58 |
| c:\Users\BG420\coffee-platform\src\engine\adaptiveStress.ts                               | TypeScript         |         27 |         10 |         10 |         47 |
| c:\Users\BG420\coffee-platform\src\engine\engineOperational.ts                            | TypeScript         |         77 |         41 |         60 |        178 |
| c:\Users\BG420\coffee-platform\src\engine\modelPhysics.ts                                 | TypeScript         |         78 |         67 |         43 |        188 |
| c:\Users\BG420\coffee-platform\src\engine\runtime.ts                                      | TypeScript         |        829 |        510 |        505 |      1,844 |
| c:\Users\BG420\coffee-platform\src\engine\simulationReal.ts                               | TypeScript         |        764 |        319 |        340 |      1,423 |
| c:\Users\BG420\coffee-platform\src\engine\useEngineBridge.ts                              | TypeScript         |         89 |          6 |         20 |        115 |
| c:\Users\BG420\coffee-platform\src\events\contractEventBridge.ts                          | TypeScript         |         12 |          6 |         11 |         29 |
| c:\Users\BG420\coffee-platform\src\events\eventBus.ts                                     | TypeScript         |          2 |          6 |          3 |         11 |
| c:\Users\BG420\coffee-platform\src\events\eventTypes.ts                                   | TypeScript         |         10 |          7 |          6 |         23 |
| c:\Users\BG420\coffee-platform\src\hooks\useEngineRuntime.ts                              | TypeScript         |         67 |         32 |         49 |        148 |
| c:\Users\BG420\coffee-platform\src\market\globalMarketState.ts                            | TypeScript         |          0 |          0 |          1 |          1 |
| c:\Users\BG420\coffee-platform\src\services\contracts.service.ts                          | TypeScript         |         45 |         43 |         19 |        107 |
| c:\Users\BG420\coffee-platform\src\services\inventory.service.ts                          | TypeScript         |         29 |          0 |          9 |         38 |
| c:\Users\BG420\coffee-platform\src\services\roasting.service.ts                           | TypeScript         |         44 |          0 |         10 |         54 |
| c:\Users\BG420\coffee-platform\src\signals\marketSignals.ts                               | TypeScript         |         57 |         39 |         20 |        116 |
| c:\Users\BG420\coffee-platform\src\signals\signalFirewall.ts                              | TypeScript         |         28 |          7 |          7 |         42 |
| c:\Users\BG420\coffee-platform\src\signals\signalRegistry.ts                              | TypeScript         |          4 |         34 |          3 |         41 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\RunSpatialMarkets\runSpatialMarket.ts    | TypeScript         |         66 |         47 |         39 |        152 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\cascade\commodityShockPropagation.ts     | TypeScript         |         40 |         42 |         46 |        128 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\cascade\globalShockMemory.ts             | TypeScript         |         78 |         56 |         82 |        216 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\cascade\shockDecayEngine.ts              | TypeScript         |         24 |         39 |         32 |         95 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\cascade\shockPropagation.ts              | TypeScript         |         49 |         31 |         44 |        124 |
| c:\Users\BG420\coffee-platform\src\spatialMarket\cascade\supplyCascadeGraph.ts            | TypeScript         |          0 |          0 |          1 |          1 |
