Date : 2026-03-30 00:59:19
Directory : c:\Users\BG420\coffee-platform
Total : 265 files,  26861 codes, 7873 comments, 9461 blanks, all 44195 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| app\api\contracts\create                                                                                    |          1 |         69 |         22 |         26 |        117 |
| app\api\contracts\create-payment-session                                                                    |          1 |         57 |          7 |         14 |         78 |
| app\api\contracts\send-otp                                                                                  |          1 |        128 |         42 |         50 |        220 |
| app\api\contracts\verify-otp                                                                                |          1 |         94 |         30 |         31 |        155 |
| app\api\dev                                                                                                 |          1 |         23 |          6 |         12 |         41 |
| app\api\dev\reset-contracts                                                                                 |          1 |         23 |          6 |         12 |         41 |
| app\api\partner                                                                                             |          3 |        126 |         46 |         40 |        212 |
| app\api\partner\lots                                                                                        |          3 |        126 |         46 |         40 |        212 |
| app\api\partner\lots (Files)                                                                                |          1 |         26 |          7 |          8 |         41 |
| app\api\partner\lots\[id]                                                                                   |          2 |        100 |         39 |         32 |        171 |
| app\api\partner\lots\[id] (Files)                                                                           |          1 |         18 |          0 |          5 |         23 |
| app\api\partner\lots\[id]\verify                                                                            |          1 |         82 |         39 |         27 |        148 |
| app\api\place-details                                                                                       |          1 |         59 |         12 |         24 |         95 |
| app\api\places                                                                                              |          1 |         29 |          0 |          4 |         33 |
| app\api\pricing                                                                                             |          2 |        104 |         19 |         22 |        145 |
| app\api\pricing\client                                                                                      |          1 |         37 |          1 |          5 |         43 |
| app\api\pricing\client\preview                                                                              |          1 |         37 |          1 |          5 |         43 |
| app\api\pricing\producer                                                                                    |          1 |         67 |         18 |         17 |        102 |
| app\api\pricing\producer\preview                                                                            |          1 |         67 |         18 |         17 |        102 |
| app\api\producer                                                                                            |          2 |         64 |          5 |         12 |         81 |
| app\api\producer\lot-draft                                                                                  |          2 |         64 |          5 |         12 |         81 |
| app\api\producer\lot-draft (Files)                                                                          |          1 |         46 |          3 |         10 |         59 |
| app\api\producer\lot-draft\[id]                                                                             |          1 |         18 |          2 |          2 |         22 |
| app\api\producer\lot-draft\[id]\send-to-lab                                                                 |          1 |         18 |          2 |          2 |         22 |
| app\api\signature-legacy                                                                                    |          3 |        202 |         85 |         68 |        355 |
| app\api\signature-legacy\request                                                                            |          1 |         91 |         42 |         29 |        162 |
| app\api\signature-legacy\sign                                                                               |          1 |         63 |         19 |         25 |        107 |
| app\api\signature-legacy\verify                                                                             |          1 |         48 |         24 |         14 |         86 |
| app\api\stripe                                                                                              |          1 |        106 |         22 |         34 |        162 |
| app\api\stripe\webhook                                                                                      |          1 |        106 |         22 |         34 |        162 |
| app\api\user                                                                                                |          1 |         46 |          9 |         15 |         70 |
| app\api\user\set-role                                                                                       |          1 |         46 |          9 |         15 |         70 |
| app\contract                                                                                                |         10 |      1,000 |        175 |        388 |      1,563 |
| app\contract\create                                                                                         |          5 |        690 |        117 |        275 |      1,082 |
| app\contract\payment                                                                                        |          2 |         83 |          3 |         21 |        107 |
| app\contract\pilot                                                                                          |          1 |         65 |         12 |         35 |        112 |
| app\contract\verify-otp                                                                                     |          2 |        162 |         43 |         57 |        262 |
| app\forgot-password                                                                                         |          1 |         94 |          4 |         18 |        116 |
| app\lab                                                                                                     |          1 |        133 |         17 |         49 |        199 |
| app\legacy                                                                                                  |          2 |        657 |      2,178 |      1,136 |      3,971 |
| app\login                                                                                                   |          1 |        130 |         10 |         22 |        162 |
| app\onboarding                                                                                              |          2 |        464 |         21 |         85 |        570 |
| app\onboarding\profile                                                                                      |          1 |        413 |         18 |         68 |        499 |
| app\onboarding\role                                                                                         |          1 |         51 |          3 |         17 |         71 |
| app\platform                                                                                                |          9 |        610 |         70 |        140 |        820 |
| app\platform (Files)                                                                                        |          1 |         15 |          7 |          8 |         30 |
| app\platform\client                                                                                         |          1 |         14 |          0 |          3 |         17 |
| app\platform\contracts                                                                                      |          1 |         73 |          0 |         16 |         89 |
| app\platform\partner                                                                                        |          3 |        215 |         31 |         55 |        301 |
| app\platform\partner (Files)                                                                                |          1 |         27 |          5 |         10 |         42 |
| app\platform\partner\lots                                                                                   |          2 |        188 |         26 |         45 |        259 |
| app\platform\partner\lots (Files)                                                                           |          1 |         72 |          9 |         17 |         98 |
| app\platform\partner\lots\[id]                                                                              |          1 |        116 |         17 |         28 |        161 |
| app\platform\producer                                                                                       |          3 |        293 |         32 |         58 |        383 |
| app\platform\producer (Files)                                                                               |          1 |          6 |          0 |          3 |          9 |
| app\platform\producer\lots                                                                                  |          2 |        287 |         32 |         55 |        374 |
| app\platform\producer\lots (Files)                                                                          |          1 |        110 |         13 |         23 |        146 |
| app\platform\producer\lots\new                                                                              |          1 |        177 |         19 |         32 |        228 |
| app\reset-password                                                                                          |          1 |        120 |         20 |         34 |        174 |
| app\sign                                                                                                    |          1 |        141 |         13 |         38 |        192 |
| app\sign\[token]                                                                                            |          1 |        141 |         13 |         38 |        192 |
| app\signup                                                                                                  |          2 |        208 |         29 |         59 |        296 |
| app\signup (Files)                                                                                          |          1 |        107 |          8 |         25 |        140 |
| app\signup\success                                                                                          |          1 |        101 |         21 |         34 |        156 |
| app\verify-page                                                                                             |          1 |         64 |         10 |         11 |         85 |
| prisma                                                                                                      |         10 |        378 |        123 |        124 |        625 |
| prisma\migrations                                                                                           |         10 |        378 |        123 |        124 |        625 |
| prisma\migrations (Files)                                                                                   |          1 |        109 |         26 |         38 |        173 |
| prisma\migrations\20260321175514_auth_upgrade_v2                                                            |          1 |        166 |         40 |         55 |        261 |
| prisma\migrations\20260322195244_add_password_reset_token                                                   |          1 |         20 |         17 |          9 |         46 |
| prisma\migrations\20260322221841_add_company_onboarding_fields                                              |          1 |          5 |          2 |          2 |          9 |
| prisma\migrations\20260323143440_otp_signature_flow                                                         |          1 |          5 |          3 |          3 |         11 |
| prisma\migrations\20260325135619_contract_status_upgrade                                                    |          1 |          9 |          7 |          1 |         17 |
| prisma\migrations\20260325233803_add_pricing_engine                                                         |          1 |         33 |         13 |          9 |         55 |
| prisma\migrations\20260326025020_add_business_fields                                                        |          1 |          2 |          1 |          1 |          4 |
| prisma\migrations\20260328182314_                                                                           |          1 |         12 |         12 |          3 |         27 |
| prisma\migrations\20260329152000_fix_enums_clean                                                            |          1 |         17 |          2 |          3 |         22 |
| src                                                                                                         |        182 |     11,388 |      4,559 |      6,359 |     22,306 |
| src\AI                                                                                                      |         40 |      2,021 |      1,106 |      1,435 |      4,562 |
| src\AI\advisor                                                                                              |          2 |        180 |         72 |        137 |        389 |
| src\AI\agent                                                                                                |          1 |        134 |         58 |         79 |        271 |
| src\AI\analytics                                                                                            |          3 |         69 |         20 |         41 |        130 |
| src\AI\dashboard                                                                                            |          1 |         57 |         21 |         33 |        111 |
| src\AI\decision                                                                                             |          3 |        197 |         36 |        145 |        378 |
| src\AI\evolution                                                                                            |          5 |        151 |         99 |        109 |        359 |
| src\AI\execution                                                                                            |          5 |        171 |        109 |        122 |        402 |
| src\AI\foresight                                                                                            |          6 |        335 |        200 |        251 |        786 |
| src\AI\interpretation                                                                                       |          2 |         78 |         74 |         51 |        203 |
| src\AI\learning                                                                                             |          2 |         36 |         15 |         26 |         77 |
| src\AI\market                                                                                               |          1 |         50 |         27 |         45 |        122 |
| src\AI\orchestration                                                                                        |          1 |        312 |        151 |        180 |        643 |
| src\AI\risk                                                                                                 |          3 |         77 |         57 |         58 |        192 |
| src\AI\sensing                                                                                              |          3 |         84 |        130 |         69 |        283 |
| src\AI\simulation                                                                                           |          2 |         90 |         37 |         89 |        216 |
| src\brain                                                                                                   |          5 |        222 |         99 |        127 |        448 |
| src\clientLayer                                                                                             |         31 |      1,237 |        496 |        919 |      2,652 |
| src\clientLayer\contracts                                                                                   |          9 |        173 |         33 |        111 |        317 |
| src\clientLayer\contracts\client                                                                            |          5 |         89 |          9 |         47 |        145 |
| src\clientLayer\contracts\signature                                                                         |          4 |         84 |         24 |         64 |        172 |
| src\clientLayer\layer                                                                                       |         11 |        461 |        172 |        334 |        967 |
| src\clientLayer\microlots                                                                                   |          7 |        433 |        173 |        335 |        941 |
| src\clientLayer\scoring                                                                                     |          4 |        170 |        118 |        139 |        427 |
| src\components                                                                                              |         17 |      2,855 |        350 |        972 |      4,177 |
| src\components\lab                                                                                          |          7 |        841 |         41 |        246 |      1,128 |
| src\components\platform                                                                                     |          8 |      2,014 |        309 |        724 |      3,047 |
| src\components\shared                                                                                       |          2 |          0 |          0 |          2 |          2 |
| src\database                                                                                                |          2 |         23 |         16 |         12 |         51 |
| src\decision                                                                                                |         20 |      1,281 |        479 |        756 |      2,516 |
| src\engine                                                                                                  |         23 |      2,446 |      1,188 |      1,182 |      4,816 |
| src\engine\core                                                                                             |          6 |      1,864 |        953 |        978 |      3,795 |
| src\engine\pricing                                                                                          |         17 |        582 |        235 |        204 |      1,021 |
| src\engine\pricing\client                                                                                   |          2 |        128 |         72 |         53 |        253 |
| src\engine\pricing\costs                                                                                    |          4 |        118 |         52 |         38 |        208 |
| src\engine\pricing\modifiers                                                                                |          8 |        167 |         69 |         68 |        304 |
| src\engine\pricing\modifiers (Files)                                                                        |          2 |         85 |         33 |         33 |        151 |
| src\engine\pricing\modifiers\producer                                                                       |          6 |         82 |         36 |         35 |        153 |
| src\engine\pricing\producer                                                                                 |          2 |        122 |         18 |         26 |        166 |
| src\engine\pricing\roasted                                                                                  |          1 |         47 |         24 |         19 |         90 |
| src\events                                                                                                  |          3 |         24 |         19 |         20 |         63 |
| src\hooks                                                                                                   |          1 |         67 |         32 |         49 |        148 |
| src\lib                                                                                                     |          7 |        194 |         60 |         59 |        313 |
| src\market                                                                                                  |          1 |          0 |          0 |          1 |          1 |
| src\services                                                                                                |          3 |        168 |         70 |         65 |        303 |
| src\signals                                                                                                 |          3 |         89 |         80 |         30 |        199 |
| src\spatialMarket                                                                                           |         20 |        670 |        518 |        648 |      1,836 |
| src\spatialMarket\RunSpatialMarkets                                                                         |          1 |         66 |         47 |         39 |        152 |
| src\spatialMarket\cascade                                                                                   |          5 |        191 |        168 |        205 |        564 |
| src\spatialMarket\export                                                                                    |          2 |         61 |         27 |         64 |        152 |
| src\spatialMarket\flows                                                                                     |          2 |         79 |         63 |         89 |        231 |
| src\spatialMarket\graph                                                                                     |          2 |        102 |         74 |         85 |        261 |
| src\spatialMarket\logistics                                                                                 |          3 |         16 |         29 |         25 |         70 |
| src\spatialMarket\pricing                                                                                   |          2 |         69 |         43 |         60 |        172 |
| src\spatialMarket\regions                                                                                   |          3 |         86 |         67 |         81 |        234 |
| src\utils                                                                                                   |          2 |          0 |          0 |          2 |          2 |
| src\websocket                                                                                               |          4 |         91 |         46 |         82 |        219 |
+-------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                    | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\BG420\coffee-platform\README.md                                                                    | Markdown           |         23 |          0 |         14 |         37 |
| c:\Users\BG420\coffee-platform\app\api\auth\forgot-password\route.ts                                        | TypeScript         |         55 |         16 |         19 |         90 |
| c:\Users\BG420\coffee-platform\app\api\auth\login\route.ts                                                  | TypeScript         |         55 |         15 |         21 |         91 |
| c:\Users\BG420\coffee-platform\app\api\auth\logout\route.ts                                                 | TypeScript         |         14 |          3 |          4 |         21 |
| c:\Users\BG420\coffee-platform\app\api\auth\me\route.ts                                                     | TypeScript         |         39 |         16 |         13 |         68 |
| c:\Users\BG420\coffee-platform\app\api\auth\resend-verification\route.ts                                    | TypeScript         |         67 |         21 |         22 |        110 |
| c:\Users\BG420\coffee-platform\app\api\auth\reset-password\route.ts                                         | TypeScript         |         61 |         18 |         20 |         99 |
| c:\Users\BG420\coffee-platform\app\api\auth\signup\route.ts                                                 | TypeScript         |         99 |         42 |         40 |        181 |
| c:\Users\BG420\coffee-platform\app\api\auth\verify\route.ts                                                 | TypeScript         |         83 |         39 |         41 |        163 |
| c:\Users\BG420\coffee-platform\app\api\company\me\route.ts                                                  | TypeScript         |         43 |          4 |         13 |         60 |
| c:\Users\BG420\coffee-platform\app\api\company\update\route.ts                                              | TypeScript         |         49 |         11 |         15 |         75 |
| c:\Users\BG420\coffee-platform\app\api\contracts\amend\route.ts                                             | TypeScript         |         58 |         22 |         16 |         96 |
| c:\Users\BG420\coffee-platform\app\api\contracts\create-payment-session\route.ts                            | TypeScript         |         57 |          7 |         14 |         78 |
| c:\Users\BG420\coffee-platform\app\api\contracts\create\route.ts                                            | TypeScript         |         69 |         22 |         26 |        117 |
| c:\Users\BG420\coffee-platform\app\api\contracts\route.ts                                                   | TypeScript         |         37 |         13 |         14 |         64 |
| c:\Users\BG420\coffee-platform\app\api\contracts\send-otp\route.ts                                          | TypeScript         |        128 |         42 |         50 |        220 |
| c:\Users\BG420\coffee-platform\app\api\contracts\verify-otp\route.ts                                        | TypeScript         |         94 |         30 |         31 |        155 |
| c:\Users\BG420\coffee-platform\app\api\dev\reset-contracts\route.ts                                         | TypeScript         |         23 |          6 |         12 |         41 |
| c:\Users\BG420\coffee-platform\app\api\partner\lots\[id]\route.ts                                           | TypeScript         |         18 |          0 |          5 |         23 |
| c:\Users\BG420\coffee-platform\app\api\partner\lots\[id]\verify\route.ts                                    | TypeScript         |         82 |         39 |         27 |        148 |
| c:\Users\BG420\coffee-platform\app\api\partner\lots\route.ts                                                | TypeScript         |         26 |          7 |          8 |         41 |
| c:\Users\BG420\coffee-platform\app\api\place-details\route.ts                                               | TypeScript         |         59 |         12 |         24 |         95 |
| c:\Users\BG420\coffee-platform\app\api\places\route.ts                                                      | TypeScript         |         29 |          0 |          4 |         33 |
| c:\Users\BG420\coffee-platform\app\api\pricing\client\preview\route.ts                                      | TypeScript         |         37 |          1 |          5 |         43 |
| c:\Users\BG420\coffee-platform\app\api\pricing\producer\preview\route.ts                                    | TypeScript         |         67 |         18 |         17 |        102 |
| c:\Users\BG420\coffee-platform\app\api\producer\lot-draft\[id]\send-to-lab\route.ts                         | TypeScript         |         18 |          2 |          2 |         22 |
| c:\Users\BG420\coffee-platform\app\api\producer\lot-draft\route.ts                                          | TypeScript         |         46 |          3 |         10 |         59 |
| c:\Users\BG420\coffee-platform\app\api\signature-legacy\request\route.ts                                    | TypeScript         |         91 |         42 |         29 |        162 |
| c:\Users\BG420\coffee-platform\app\api\signature-legacy\sign\route.ts                                       | TypeScript         |         63 |         19 |         25 |        107 |
| c:\Users\BG420\coffee-platform\app\api\signature-legacy\verify\route.ts                                     | TypeScript         |         48 |         24 |         14 |         86 |
| c:\Users\BG420\coffee-platform\app\api\stripe\webhook\route.ts                                              | TypeScript         |        106 |         22 |         34 |        162 |
| c:\Users\BG420\coffee-platform\app\api\user\set-role\route.ts                                               | TypeScript         |         46 |          9 |         15 |         70 |
| c:\Users\BG420\coffee-platform\app\contract\create\ContractCreateContent.tsx                                | TypeScript JSX     |        177 |         22 |         55 |        254 |
| c:\Users\BG420\coffee-platform\app\contract\create\page.tsx                                                 | TypeScript JSX     |         10 |          0 |          3 |         13 |
| c:\Users\BG420\coffee-platform\app\contract\create\step1Client.tsx                                          | TypeScript JSX     |        172 |         26 |         89 |        287 |
| c:\Users\BG420\coffee-platform\app\contract\create\step2Supply.tsx                                          | TypeScript JSX     |        191 |         33 |         71 |        295 |
| c:\Users\BG420\coffee-platform\app\contract\create\step3Preview.tsx                                         | TypeScript JSX     |        140 |         36 |         57 |        233 |
| c:\Users\BG420\coffee-platform\app\contract\payment\PaymentClient.tsx                                       | TypeScript JSX     |         66 |          3 |         17 |         86 |
| c:\Users\BG420\coffee-platform\app\contract\payment\page.tsx                                                | TypeScript JSX     |         17 |          0 |          4 |         21 |
| c:\Users\BG420\coffee-platform\app\contract\pilot\page.tsx                                                  | TypeScript JSX     |         65 |         12 |         35 |        112 |
| c:\Users\BG420\coffee-platform\app\contract\verify-otp\VerifyOtpClient.tsx                                  | TypeScript JSX     |        149 |         40 |         46 |        235 |
| c:\Users\BG420\coffee-platform\app\contract\verify-otp\page.tsx                                             | TypeScript JSX     |         13 |          3 |         11 |         27 |
| c:\Users\BG420\coffee-platform\app\forgot-password\page.tsx                                                 | TypeScript JSX     |         94 |          4 |         18 |        116 |
| c:\Users\BG420\coffee-platform\app\globals.css                                                              | PostCSS            |        855 |         59 |        212 |      1,126 |
| c:\Users\BG420\coffee-platform\app\lab\page.tsx                                                             | TypeScript JSX     |        133 |         17 |         49 |        199 |
| c:\Users\BG420\coffee-platform\app\layout.tsx                                                               | TypeScript JSX     |         29 |         12 |          9 |         50 |
| c:\Users\BG420\coffee-platform\app\legacy\hybridengineconcept.ts                                            | TypeScript         |          0 |      1,960 |        864 |      2,824 |
| c:\Users\BG420\coffee-platform\app\legacy\simulationDemo_old.ts                                             | TypeScript         |        657 |        218 |        272 |      1,147 |
| c:\Users\BG420\coffee-platform\app\login\page.tsx                                                           | TypeScript JSX     |        130 |         10 |         22 |        162 |
| c:\Users\BG420\coffee-platform\app\onboarding\profile\page.tsx                                              | TypeScript JSX     |        413 |         18 |         68 |        499 |
| c:\Users\BG420\coffee-platform\app\onboarding\role\page.tsx                                                 | TypeScript JSX     |         51 |          3 |         17 |         71 |
| c:\Users\BG420\coffee-platform\app\page.tsx                                                                 | TypeScript JSX     |        915 |         43 |        154 |      1,112 |
| c:\Users\BG420\coffee-platform\app\platform\client\page.tsx                                                 | TypeScript JSX     |         14 |          0 |          3 |         17 |
| c:\Users\BG420\coffee-platform\app\platform\contracts\page.tsx                                              | TypeScript JSX     |         73 |          0 |         16 |         89 |
| c:\Users\BG420\coffee-platform\app\platform\page.tsx                                                        | TypeScript JSX     |         15 |          7 |          8 |         30 |
| c:\Users\BG420\coffee-platform\app\platform\partner\lots\[id]\page.tsx                                      | TypeScript JSX     |        116 |         17 |         28 |        161 |
| c:\Users\BG420\coffee-platform\app\platform\partner\lots\page.tsx                                           | TypeScript JSX     |         72 |          9 |         17 |         98 |
| c:\Users\BG420\coffee-platform\app\platform\partner\page.tsx                                                | TypeScript JSX     |         27 |          5 |         10 |         42 |
| c:\Users\BG420\coffee-platform\app\platform\producer\lots\new\page.tsx                                      | TypeScript JSX     |        177 |         19 |         32 |        228 |
| c:\Users\BG420\coffee-platform\app\platform\producer\lots\page.tsx                                          | TypeScript JSX     |        110 |         13 |         23 |        146 |
| c:\Users\BG420\coffee-platform\app\platform\producer\page.tsx                                               | TypeScript JSX     |          6 |          0 |          3 |          9 |
| c:\Users\BG420\coffee-platform\app\reset-password\page.tsx                                                  | TypeScript JSX     |        120 |         20 |         34 |        174 |
| c:\Users\BG420\coffee-platform\app\sign\[token]\page.tsx                                                    | TypeScript JSX     |        141 |         13 |         38 |        192 |
| c:\Users\BG420\coffee-platform\app\signup\page.tsx                                                          | TypeScript JSX     |        107 |          8 |         25 |        140 |
| c:\Users\BG420\coffee-platform\app\signup\success\page.tsx                                                  | TypeScript JSX     |        101 |         21 |         34 |        156 |
| c:\Users\BG420\coffee-platform\app\verify-page\page.tsx                                                     | TypeScript JSX     |         64 |         10 |         11 |         85 |
| c:\Users\BG420\coffee-platform\eslint.config.mjs                                                            | JavaScript         |         14 |          2 |          3 |         19 |
| c:\Users\BG420\coffee-platform\next.config.js                                                               | JavaScript         |          2 |          1 |          1 |          4 |
| c:\Users\BG420\coffee-platform\package-lock.json                                                            | JSON               |      7,754 |          0 |          1 |      7,755 |
| c:\Users\BG420\coffee-platform\package.json                                                                 | JSON               |         41 |          0 |          1 |         42 |
| c:\Users\BG420\coffee-platform\postcss.config.mjs                                                           | JavaScript         |          6 |          0 |          2 |          8 |
| c:\Users\BG420\coffee-platform\prisma\migrations\20260321175514_auth_upgrade_v2\migration.sql               | MS SQL             |        166 |         40 |         55 |        261 |
| c:\Users\BG420\coffee-platform\prisma\migrations\20260322195244_add_password_reset_token\migration.sql      | MS SQL             |         20 |         17 |          9 |         46 |
| c:\Users\BG420\coffee-platform\prisma\migrations\20260322221841_add_company_onboarding_fields\migration.sql | MS SQL             |          5 |          2 |          2 |          9 |
| c:\Users\BG420\coffee-platform\prisma\migrations\20260323143440_otp_signature_flow\migration.sql            | MS SQL             |          5 |          3 |          3 |         11 |
| c:\Users\BG420\coffee-platform\prisma\migrations\20260325135619_contract_status_upgrade\migration.sql       | MS SQL             |          9 |          7 |          1 |         17 |
| c:\Users\BG420\coffee-platform\prisma\migrations\20260325233803_add_pricing_engine\migration.sql            | MS SQL             |         33 |         13 |          9 |         55 |
| c:\Users\BG420\coffee-platform\prisma\migrations\20260326025020_add_business_fields\migration.sql           | MS SQL             |          2 |          1 |          1 |          4 |
| c:\Users\BG420\coffee-platform\prisma\migrations\20260328182314_\migration.sql                              | MS SQL             |         12 |         12 |          3 |         27 |
| c:\Users\BG420\coffee-platform\prisma\migrations\20260329152000_fix_enums_clean\migration.sql               | MS SQL             |         17 |          2 |          3 |         22 |
| c:\Users\BG420\coffee-platform\prisma\migrations\init.sql                                                   | MS SQL             |        109 |         26 |         38 |        173 |
| c:\Users\BG420\coffee-platform\src\AI\advisor\AIStrategicAdvisor.ts                                         | TypeScript         |         63 |         19 |         56 |        138 |
| c:\Users\BG420\coffee-platform\src\AI\advisor\coffeeSupplyAdvisor.ts                                        | TypeScript         |        117 |         53 |         81 |        251 |
| c:\Users\BG420\coffee-platform\src\AI\agent\AutonomousStrategyAgent.ts                                      | TypeScript         |        134 |         58 |         79 |        271 |
| c:\Users\BG420\coffee-platform\src\AI\analytics\PnLEngine.ts                                                | TypeScript         |         17 |          6 |         10 |         33 |
| c:\Users\BG420\coffee-platform\src\AI\analytics\StrategyLeaderboard.ts                                      | TypeScript         |         34 |         11 |         17 |         62 |
| c:\Users\BG420\coffee-platform\src\AI\analytics\TradeClosureEngine.ts                                       | TypeScript         |         18 |          3 |         14 |         35 |
| c:\Users\BG420\coffee-platform\src\AI\dashboard\GlobalRiskDashboardEngine.ts                                | TypeScript         |         57 |         21 |         33 |        111 |
| c:\Users\BG420\coffee-platform\src\AI\decision\CommodityStrategyEngine.ts                                   | TypeScript         |         62 |         15 |         51 |        128 |
| c:\Users\BG420\coffee-platform\src\AI\decision\GlobalCommodityPortfolioOptimizer.ts                         | TypeScript         |         72 |         11 |         48 |        131 |
| c:\Users\BG420\coffee-platform\src\AI\decision\GlobalTradeRouteOptimizer.ts                                 | TypeScript         |         63 |         10 |         46 |        119 |
| c:\Users\BG420\coffee-platform\src\AI\evolution\CapitalCompetitionEngine.ts                                 | TypeScript         |         37 |         21 |         30 |         88 |
| c:\Users\BG420\coffee-platform\src\AI\evolution\StrategyArena.ts                                            | TypeScript         |         38 |         24 |         24 |         86 |
| c:\Users\BG420\coffee-platform\src\AI\evolution\StrategyEvolutionEngine.ts                                  | TypeScript         |         44 |         39 |         31 |        114 |
| c:\Users\BG420\coffee-platform\src\AI\evolution\StrategyGenome.ts                                           | TypeScript         |         18 |          9 |         15 |         42 |
| c:\Users\BG420\coffee-platform\src\AI\evolution\StrategyMutationEngine.ts                                   | TypeScript         |         14 |          6 |          9 |         29 |
| c:\Users\BG420\coffee-platform\src\AI\execution\ExecutionRiskEngine.ts                                      | TypeScript         |         58 |         27 |         33 |        118 |
| c:\Users\BG420\coffee-platform\src\AI\execution\MarketImpactEngine.ts                                       | TypeScript         |         38 |         29 |         27 |         94 |
| c:\Users\BG420\coffee-platform\src\AI\execution\PositionSizingEngine.ts                                     | TypeScript         |         36 |         41 |         35 |        112 |
| c:\Users\BG420\coffee-platform\src\AI\execution\selectBestRegion.ts                                         | TypeScript         |         15 |          6 |         14 |         35 |
| c:\Users\BG420\coffee-platform\src\AI\execution\selectBestTradeRoute.ts                                     | TypeScript         |         24 |          6 |         13 |         43 |
| c:\Users\BG420\coffee-platform\src\AI\foresight\CommodityOpportunityScanner.ts                              | TypeScript         |         50 |         20 |         31 |        101 |
| c:\Users\BG420\coffee-platform\src\AI\foresight\CommodityShockNetwork.ts                                    | TypeScript         |         43 |         15 |         29 |         87 |
| c:\Users\BG420\coffee-platform\src\AI\foresight\DecisionStressTest.ts                                       | TypeScript         |         31 |         25 |         23 |         79 |
| c:\Users\BG420\coffee-platform\src\AI\foresight\StrategicForecastEngine.ts                                  | TypeScript         |         80 |         67 |         51 |        198 |
| c:\Users\BG420\coffee-platform\src\AI\foresight\monteCarloMarketFutures.ts                                  | TypeScript         |         61 |         29 |         51 |        141 |
| c:\Users\BG420\coffee-platform\src\AI\foresight\predictiveSimulation.ts                                     | TypeScript         |         70 |         44 |         66 |        180 |
| c:\Users\BG420\coffee-platform\src\AI\interpretation\CommodityRegimeDetector.ts                             | TypeScript         |         33 |         13 |         21 |         67 |
| c:\Users\BG420\coffee-platform\src\AI\interpretation\systemIntelligence.ts                                  | TypeScript         |         45 |         61 |         30 |        136 |
| c:\Users\BG420\coffee-platform\src\AI\learning\StrategyLearningEngine.ts                                    | TypeScript         |         16 |          6 |          9 |         31 |
| c:\Users\BG420\coffee-platform\src\AI\learning\TradeMemory.ts                                               | TypeScript         |         20 |          9 |         17 |         46 |
